:START_ID,:END_ID,:TYPE
0,1,"Completion 2007-2008",Edge
0,2,"Completed",Edge
0,6,"Completion 2007-2008",Edge
0,7,"Completed",Edge
1,6,"Completion 2007-2008",Edge
2,3,"Completed",Edge
2,6,"Completed",Edge
2,9,"Completed",Edge
2,15,"Completion 2007-2008",Edge
2,16,"Completion 2007-2008",Edge
2,17,"Completed",Edge
2,20,"Completion 2007-2008",Edge
2,21,"Completion 2007-2008",Edge
3,8,"Completion 2007-2008",Edge
3,9,"Completion 2007-2008",Edge
3,6,"Completed",Edge
4,5,"Completion 2007-2008",Edge
4,7,"Completion 2007-2008",Edge
5,7,"Completed",Edge
5,8,"Completion 2007-2008",Edge
5,9,"Completed",Edge
5,13,"Completed",Edge
5,14,"Completed",Edge
6,7,"Completed",Edge
8,9,"Completion 2007-2008",Edge
8,13,"Completion 2007-2008",Edge
9,13,"Completed",Edge
9,16,"Completion 2007-2008",Edge
9,22,"Completion 2007-2008",Edge
10,11,"Completion 2007-2008",Edge
10,13,"Completion 2007-2008",Edge
10,14,"Completion 2007-2008",Edge
11,12,"Completion 2007-2008",Edge
11,13,"Completed",Edge
11,14,"Completed",Edge
12,24,"Completion 2007-2008",Edge
12,13,"Completion 2007-2008",Edge
13,15,"Completion 2007-2008",Edge
13,16,"Completion 2007-2008",Edge
13,17,"Completion 2007-2008",Edge
13,22,"Completed",Edge
15,16,"Completion 2007-2008",Edge
15,17,"Completion 2007-2008",Edge
15,21,"Completion 2007-2008",Edge
16,17,"Completion 2007-2008",Edge
17,18,"Completion 2007-2008",Edge
17,19,"Completion 2007-2008",Edge
17,20,"Completion 2007-2008",Edge
17,21,"Completion 2007-2008",Edge
17,22,"Completed",Edge
18,21,"Completion 2007-2008",Edge
19,20,"Completion 2007-2008",Edge
21,22,"Completion 2007-2008",Edge
22,23,"Completion 2007-2008",Edge
22,24,"Completion 2007-2008",Edge
22,24,"Completion 2007-2008",Edge
23,24,"Completion 2007-2008",Edge
