:ID,label,country,longitude,internal,latitude,type,:LABEL
0,"NY54","United States",-74.00597,1,40.71427,"Completion 2007 - 2008",Node
1,"CMBR","United States",-71.10561,1,42.3751,"Completion 2007 - 2008",Node
2,"CHCG","United States",-87.65005,1,41.85003,"Completed",Node
3,"CLEV","United States",-81.69541,1,41.4995,"Completed",Node
4,"RLGH","United States",-78.63861,1,35.7721,"Completion 2007 - 2008",Node
5,"ATLN","United States",-84.38798,1,33.749,"Completed",Node
6,"PHLA","United States",-75.16379,1,39.95234,"Completed",Node
7,"WASH","United States",-77.03637,1,38.89511,"Completed",Node
8,"NSVL","United States",-86.78444,1,36.16589,"Completion 2007 - 2008",Node
9,"STLS","United States",-90.19789,1,38.62727,"Completed",Node
10,"NWOR","United States",-90.07507,1,29.95465,"Completion 2007 - 2008",Node
11,"HSTN","United States",-95.36327,1,29.76328,"Completed",Node
12,"SNAN","United States",-98.49363,1,29.42412,"Completion 2007 - 2008",Node
13,"DLLS","United States",-96.80667,1,32.78306,"Completed",Node
14,"ORLD","United States",-81.37924,1,28.53834,"Completed",Node
15,"DNVR","United States",-104.9847,1,39.73915,"Completion 2007 - 2008",Node
16,"KSCY","United States",-94.62746,1,39.11417,"Completion 2007 - 2008",Node
17,"SNFN","United States",-122.41942,1,37.77493,"Completed",Node
18,"SCRM","United States",-121.4944,1,38.58157,"Completion 2007 - 2008",Node
19,"PTLD","United States",-122.67621,1,45.52345,"Completion 2007 - 2008",Node
20,"STTL","United States",-122.33207,1,47.60621,"Completion 2007 - 2008",Node
21,"SLKC","United States",-111.89105,1,40.76078,"Completion 2007 - 2008",Node
22,"LA03","United States",-118.24368,1,34.05223,"Completed",Node
23,"SNDG","United States",-117.15726,1,32.71533,"Completion 2007 - 2008",Node
24,"PHNX","United States",-112.07404,1,33.44838,"Completion 2007 - 2008",Node
